x,y
243,248
244,248
245,248
246,248
247,248
248,248
249,248
250,248
251,248
252,248
253,248
254,248
255,248
256,248
257,248
258,248
259,248
260,248
261,248
262,248
263,248
264,248
265,248
266,248
266,247
266,246
266,245
266,244
267,243
267,242
267,241
267,240
268,239
268,238
268,237
268,236
268,235
269,234
269,233
269,232
269,231
269,230
270,229
270,228
270,227
270,226
270,225
271,224
271,223
271,222
271,221
272,220
272,219
272,218
272,217
272,216
273,215
273,214
273,213
273,212
273,211
274,210
274,209
274,208
274,207
275,206
275,205
275,204
275,203
275,202
276,201
276,200
276,199
276,198
276,197
277,196
277,195
277,194
277,193
278,192
278,191
278,190
277,190
276,190
275,190
274,190
273,190
272,190
271,190
270,190
269,190
268,190
267,190
266,190
265,190
264,189
264,188
265,187
265,186
265,185
265,184
265,183
266,182
266,181
266,180
266,179
267,178
267,177
267,176
267,175
267,174
268,173
268,172
268,171
268,170
268,169
269,168
269,167
269,166
269,165
270,164
270,163
270,162
270,161
270,160
271,159
271,158
271,157
271,156
271,155
272,154
272,153
272,152
272,151
272,150
273,149
273,148
273,147
273,146
273,145
274,144
274,143
274,142
274,141
275,140
275,139
275,138
275,137
275,136
276,135
276,134
276,133
276,132
276,131
277,130
277,129
277,128
277,127
277,126
278,125
278,124
278,123
278,122
278,121
279,120
279,119
279,118
279,117
279,116
280,115
280,114
280,113
280,112
281,111
281,110
281,109
281,108
281,107
282,106
282,105
282,104
282,103
282,102
283,101
283,100
283,99
283,98
284,97
284,96
284,95
284,94
284,93
285,92
285,91
285,90
285,89
285,88
286,87
286,86
286,85
286,84
286,83
287,82
287,81
287,80
287,79
288,78
289,77
290,77
291,77
292,77
293,77
294,77
295,77
296,77
297,78
298,78
299,78
300,78
301,78
302,78
302,77
302,76
303,75
303,74
303,73
303,72
303,71
304,70
304,69
304,68
304,67
305,66
305,65
305,64
305,63
305,62
306,61
306,60
306,59
306,58
306,57
307,56
307,55
307,54
307,53
307,52
308,51
308,50
308,49
308,48
308,47
309,46
309,45
309,44
309,43
309,42
310,41
310,40
310,39
310,38
310,37
311,36
311,35
311,34
311,33
312,32
312,31
312,30
312,29
312,28
313,27
313,26
313,25
313,24
313,23
314,22
314,21
314,20
314,19
313,19
312,19
311,19
310,19
309,19
308,19
307,19
306,19
305,19
304,19
303,19
302,19
301,19
300,19
299,19
298,19
297,19
296,19
295,19
294,19
293,19
292,19
291,19
290,19
289,19
288,19
287,19
286,19
285,19
284,19
283,19
282,19
281,19
280,19
279,19
278,19
277,19
276,19
275,19
274,19
273,19
272,19
271,19
270,19
269,19
268,19
267,19
266,19
265,19
264,19
263,19
262,19
261,19
260,19
259,19
258,19
257,19
256,19
255,19
254,19
253,19
252,19
251,19
250,19
249,19
248,19
247,19
246,19
245,19
244,19
243,19
242,19
241,19
240,19
239,19
238,19
237,19
236,19
235,19
234,19
233,20
232,21
231,22
230,23
230,24
229,25
228,26
227,27
227,28
226,29
225,30
224,31
223,32
223,33
222,34
221,35
220,36
220,37
219,38
218,39
217,40
216,41
216,42
215,43
214,44
213,45
213,46
212,47
211,48
210,49
210,50
209,51
208,52
207,53
206,54
206,55
205,56
204,57
203,58
203,59
202,60
201,61
200,62
200,63
199,64
198,65
197,66
196,67
196,68
195,69
194,70
193,71
193,72
192,73
191,74
190,75
189,76
189,77
188,78
187,79
186,80
186,81
185,82
184,83
183,84
183,85
182,86
181,87
180,88
179,89
179,90
178,91
177,92
176,93
176,94
175,95
174,96
173,97
172,98
172,99
171,100
170,101
169,102
169,103
168,104
167,103
166,102
166,101
166,100
165,99
165,98
164,97
164,96
164,95
163,94
163,93
162,92
162,91
162,90
161,89
161,88
161,87
160,86
160,85
159,84
159,83
159,82
158,81
158,80
158,79
157,78
157,77
156,76
156,75
156,74
155,73
155,72
154,71
154,70
154,69
153,68
153,67
153,66
152,65
152,64
151,63
151,62
151,61
150,60
150,59
150,58
149,57
149,56
148,55
148,54
148,53
147,52
147,51
146,50
146,49
146,48
145,47
145,46
145,45
144,44
144,43
143,42
143,41
143,40
142,39
142,38
141,37
141,36
141,35
140,34
140,33
140,32
139,31
139,30
139,29
138,28
138,27
137,26
137,25
137,24
136,23
136,22
135,21
135,20
135,19
134,18
133,18
132,18
131,18
130,18
129,18
128,18
127,18
126,18
125,18
124,18
123,18
122,18
121,18
120,18
119,18
118,18
117,18
116,18
115,18
114,18
113,18
112,18
111,18
110,18
109,18
108,18
107,18
106,18
105,18
104,18
103,18
102,18
101,18
100,18
99,18
98,18
97,18
96,18
95,18
94,18
93,18
92,18
91,18
90,18
89,18
88,18
87,18
86,18
85,18
84,18
83,18
82,18
81,18
80,18
79,18
78,18
77,18
76,18
75,18
74,18
73,18
72,18
71,18
70,18
69,18
68,18
67,18
66,18
65,18
64,18
63,18
62,18
61,18
60,18
59,18
58,18
57,18
56,18
55,18
